district_standard,variant,start_date,end_date,source_url,notes
Garden Route,Eden,2000-01-01,,https://en.wikipedia.org/wiki/Garden_Route_District_Municipality,"Historic name (Eden) used in older datasets; map to Garden Route"
Garden Route,Eden District,2000-01-01,,https://en.wikipedia.org/wiki/Garden_Route_District_Municipality,Alternate phrasing
